redshift,0,1,2,3,4,5
1.53791146774,0.014098775541038278,0.024759207336665853,0.03066254217470373,0.024809560088593766,0.014603498908867639,0.007826418573958185
1.49572635168,0.0140284060001164,0.02435909451335615,0.029788411397076275,0.02375120458471338,0.013794364550832496,0.007327009347164343
1.45512220657,0.013937856935113834,0.023930757276327565,0.028920529212928852,0.022772785628115567,0.013065437179759443,0.0068724998767773155
1.41600372948,0.013839108837446597,0.023511508738741173,0.028099185037044498,0.021871376127498492,0.012393942402702793,0.006441709979272445
1.37828263454,0.013734794908496606,0.023101448347419097,0.027300276569341742,0.020990530638635072,0.011749654715248838,0.006039932061859617
1.34187726941,0.013607041769765134,0.022676353598490274,0.02652336776138553,0.02015576727306843,0.011156951433574296,0.005685469409591872
1.30671188209,0.01347020699564689,0.022239021098837797,0.025773348400705373,0.01940748571382182,0.010659742589744864,0.005400439331731182
1.27271802832,0.013328964606697913,0.021800925141511288,0.025044485676307817,0.01873033810113078,0.010257871520344972,0.005193055336255518
1.23983166351,0.013182637098279576,0.0213758584750188,0.024358721148338553,0.018116017455273907,0.009917278744143259,0.005031558280928202
1.20799342956,0.013031604391120463,0.02096010375578669,0.023717277489722372,0.017560860739730427,0.009613519458420696,0.004887488752363237
1.17714739714,0.012867129123544853,0.020544096006219727,0.023108581826929986,0.01705102398536663,0.009332007044788282,0.0047483269536740084
1.14724425669,0.012696299754284013,0.020129309757660693,0.022511605783739556,0.01655627520861021,0.00906220530001632,0.004614989765728825
1.11823538203,0.012538126344676803,0.019723300257913398,0.021907062366308627,0.016051119791282466,0.008789412219819114,0.004482011480773909
1.09007636208,0.012384912966031069,0.019329814034853305,0.021316926072479175,0.015551578517632983,0.008515757399304982,0.004349761152354906
1.06272702178,0.012229493519226914,0.01894442300492839,0.020752957532316367,0.015077574999819406,0.00825381595610153,0.004221866684997959
1.03614632953,0.012065965330069648,0.018557861406021583,0.020207063242661617,0.014625803029901178,0.008003589430272517,0.004097825650519715
1.01030040835,0.01189429174254068,0.01817485676332828,0.019677871376627083,0.014192484026405862,0.007765177419824024,0.003979333739538081
0.985154128676,0.01171789726300111,0.01779637720615144,0.019160396121820675,0.01376931059163014,0.007532676235459629,0.00386391894752991
0.960676979588,0.011541841621157994,0.017421031302834792,0.018649054624464447,0.013347216348327523,0.007295137135301521,0.0037424663862610035
0.93683786708,0.011359651070763154,0.017034394180359933,0.018120720492344818,0.012903428087139132,0.00703770129162452,0.0036080833912823973
0.913608953068,0.011163276966688122,0.016629524716222394,0.01758399057955127,0.012453864327971452,0.00676499252565444,0.003458704137346131
0.89096471589,0.010969291313828506,0.016231413808737865,0.017063630664856486,0.012026045990864606,0.0065016708937801196,0.0033086461242804043
0.868879550734,0.01078390528566217,0.015849793051697782,0.016565967149130698,0.011623263322437011,0.006258645730702049,0.003169799761361625
0.847329930757,0.0105863521923777,0.015467600122908664,0.016087518632051642,0.011242377623567099,0.006031662853851413,0.0030409203987583223
0.826294828679,0.01038279558530785,0.015093957460411674,0.015628057436613104,0.010875713639349171,0.005813922188363892,0.002920656480793369
0.805753494461,0.01019792879929168,0.014751711601644535,0.015195121100330302,0.01052398637295865,0.00560646280527998,0.0028087665878345908
0.785685136246,0.010028847934661305,0.014434282669113147,0.014790896672052274,0.010195063600382498,0.0054113777953937086,0.002701828055382668
