t0,a,m1,m2,nu0,M_ch,K,nu_max,Dt_max
5076.74,0.747039,0.262946,0.265877,0.00011253385553946124,0.2301793375972464,3.181563870960243e-07,0.006825204675286917,1265.237190468725
1906.33,19.4353,0.53066,0.526603,1.1990784213902053e-06,0.4601963843244371,1.0094901599856031e-06,0.01547209007653394,72534805.34281965
1134.22,1.04561,0.669256,0.31426,9.267851495689312e-05,0.3937064609275971,7.7830709498594e-07,0.007903271089665365,867.9149940696499
61.5943,30.7156,1.36995,1.12773,9.276258378272044e-07,1.0810320029028664,4.190453296689905e-06,0.0668297665151683,34646034.76885518
66.5363,15.021,1.02146,1.02416,2.4547493573500086e-06,0.8904068909272069,3.0328035074323478e-06,0.050019831565137805,3573102.0453213467
134.152,2.10662,1.26166,0.842684,4.7404765994943516e-05,0.8940069648384111,3.0532679812130646e-06,0.031350309026377955,1322.1634615717064
1532.05,3.2205,0.589891,0.364033,1.688553697339232e-05,0.4010927019097403,8.027950502461899e-07,0.00946668921107091,78873.49107235909
1828.74,1.77541,0.675343,0.309502,4.191590942428227e-05,0.39213819062860006,7.731468439837006e-07,0.007762616131354972,7249.410304637737
3947.67,1.68695,0.346484,0.307403,3.687575996042235e-05,0.2840103918113213,4.5159986629943476e-07,0.00801924168675709,17465.40938161268
12998.4,0.421461,0.238458,0.27109,0.00026067501329333484,0.22124742077547563,2.9784737754954005e-07,0.00608604444224364,143.84199662683858
2121.52,5.85558,0.633022,0.383813,7.110715595704283e-06,0.4264547864696364,8.891705602442685e-07,0.010059728859138337,714751.1671363509
5087.97,1.40779,0.279796,0.557247,5.472805503246979e-05,0.3397691866553218,6.088403178205789e-07,0.006972755541650574,4520.4077229908635
11209.3,19.315,0.618792,0.37734,1.174787510449077e-06,0.418122119221962,8.604031491015974e-07,0.009864129867711548,89877005.29675914
11700.1,2.10298,0.276854,0.287263,2.460791532849444e-05,0.24549602188391806,3.5421818338745307e-07,0.007199668549235529,65479.43799026731
3822.63,21.5855,0.7186,0.273235,9.922463019386899e-07,0.3771605318367288,7.245591059155583e-07,0.006728454918706301,167436312.33173212
3694.78,10.6151,0.396465,0.42275,2.6149040443068385e-06,0.3563637356555992,6.592031255021313e-07,0.010788328474489961,13889101.890900237
595.306,1.93382,0.626405,0.658207,4.2111902265363284e-05,0.5589542111515847,1.3958019707098545e-06,0.019634442673326185,3965.871518586292
12745.4,4.32426,0.534967,0.293287,1.0112464661906882e-05,0.3417741212211225,6.14839902786609e-07,0.007372064738717034,404136.43485980295
